stim_id,superordinate,np,adj,response,response_hand_lemma
1,birds,crow,dark,colors,color
1,birds,crow,light,colors,color
1,birds,parrot,dark,colors,color
1,birds,parrot,dark,colour,color
1,birds,parrot,light,colors,color
1,birds,seagull,dark,color,color
1,birds,seagull,light,colors,color
1,birds,seagull,light,colour,color
2,paint,black paint,dark,cans,cans
2,paint,black paint,dark,colors,color
2,paint,black paint,light,colors,color
2,paint,black paint,light,shades,shades
2,paint,blue paint,dark,colors,color
2,paint,blue paint,light,cans,cans
2,paint,blue paint,light,colors,color
2,paint,white paint,dark,colors,color
2,paint,white paint,light,can,cans
2,paint,white paint,light,colors,color
2,paint,white paint,light,shades,shades
3,cakes,cheesecake,dark,color,color
3,cakes,cheesecake,dark,colors,color
3,cakes,cheesecake,dark,colour,color
3,cakes,cheesecake,dark,deserts,desserts
3,cakes,cheesecake,dark,desserts,desserts
3,cakes,cheesecake,dark,other desserts,desserts
3,cakes,cheesecake,light,colors,color
3,cakes,cheesecake,light,desserts,desserts
3,cakes,cheesecake,light,desswerts,desserts
3,cakes,chocolate cake,dark,colors,color
3,cakes,fruit cake,dark,color,color
3,cakes,fruit cake,light,colors,color
3,cakes,fruit cake,light,desserts,desserts
4,times of day,day,dark,places,places
4,times of day,day,light,places,places
4,times of day,dusk,dark,days,days
4,times of day,dusk,dark,evenings,evenings
4,times of day,dusk,dark,nights,night
4,times of day,dusk,dark,places,places
4,times of day,dusk,dark,places.,places
4,times of day,dusk,light,days,days
4,times of day,dusk,light,evenings,evenings
4,times of day,dusk,light,nights,night
4,times of day,night,dark,evenings,evenings
4,times of day,night,dark,places,places
4,times of day,night,light,places,places
5,writing utensils,pen,dark,color,color
5,writing utensils,pen,dark,colors,color
5,writing utensils,pen,dark,color of the scripts,color of the scripts
5,writing utensils,pen,dark,ink,ink
5,writing utensils,pen,dark,inks,ink
5,writing utensils,pen,dark,ink colors,ink color
5,writing utensils,pen,dark,paper,paper
5,writing utensils,pen,dark,script,scripts
5,writing utensils,pen,dark,scripts,scripts
5,writing utensils,pen,light,colors,color
5,writing utensils,pen,light,ink,ink
5,writing utensils,pen,light,inks,ink
5,writing utensils,pen,light,ink colors,ink color
5,writing utensils,pen,light,script,scripts
5,writing utensils,pen,light,scripts,scripts
