key,l95,mean,u95,prob_gt_0,prob_lt_0
adjpol,-1.0352377318572985,-0.3409288823767932,0.3541504616148158,16.895,83.10499999999999
adjpol_nphigh,4.806604972393082,5.723610174733584,6.639103882976051,100,0
adjpol_nplow,-5.323061078822351,-4.579020348859063,-3.8442155943691305,0,100
highneg_highpos,-6.022510585071306,-5.382681292356791,-4.7527442011800956,0,100
intercept,-0.21273052770277492,-0.1155785003930608,-0.019572718256571812,0.915,99.08500000000001
lowneg_highneg,4.607188758621749,5.120753656135516,5.645691024553146,100,0
lowneg_highpos,-0.7091477999252502,-0.2619276362212746,0.1768105082111727,12.4,87.6
lowneg_lowpos,4.223356418699403,4.919949231235857,5.6212042950073196,100,0
lowpos_highneg,-0.24520394355180442,0.20080442489965988,0.6542585700174701,81.025,18.975
lowpos_highpos,-5.700090525136225,-5.181876867457131,-4.665850859873567,0,100
nphigh,-0.0888892659527269,0.010166954882915942,0.10842603442291548,58.51,41.49
nplow,-0.11031807085626834,-0.0203946507778914,0.0714869579775156,32.79,67.21000000000001
