model_variant,stim_id,subordinate,task,adj_polarity,MAP,cred_upper,cred_lower,param_name
byItem-intercept_single-slope,beta,frequency,basic_super,byItem-intercept_single-slope,0.20646910017470527,0.21335660907764906,0.09300872972295651,byItem-intercept_single-slope_beta_frequency_basic_super
byItem-intercept_single-slope,beta,frequency,sub_basic,byItem-intercept_single-slope,0.20646910017470527,0.21335660907764906,0.09300872972295651,byItem-intercept_single-slope_beta_frequency_sub_basic
byItem-intercept_single-slope,beta,intercept,basic_super,byItem-intercept_single-slope,1.6051231823660914,1.811974913614466,1.5458637455749575,byItem-intercept_single-slope_beta_intercept_basic_super
byItem-intercept_single-slope,beta,intercept,sub_basic,byItem-intercept_single-slope,-0.09561248758627872,0.10115947976334298,-0.17195354650090205,byItem-intercept_single-slope_beta_intercept_sub_basic
byItem-intercept_single-slope,speakerOptimality,adjEndorse,NA,byItem-intercept_single-slope,5.3066691817791964,5.697788721041098,4.464785150956225,byItem-intercept_single-slope_speakerOptimality_adjEndorse_NA
byItem-intercept_single-slope,speakerOptimality,subordinateCC,NA,byItem-intercept_single-slope,1.4529549522993401,1.711252531853445,1.3188286055157474,byItem-intercept_single-slope_speakerOptimality_subordinateCC_NA
flat,speakerOptimality,adjEndorse,NA,flat,5.021967397101757,11.961742703134487,4.442014825638851,flat_speakerOptimality_adjEndorse_NA
flat,speakerOptimality,subordinateCC,NA,flat,1.4783066142132022,19.923164430077648,1.2575064954585402,flat_speakerOptimality_subordinateCC_NA
intercept,beta,frequency,basic_super,intercept,-8.75638536870671e-4,0,0,intercept_beta_frequency_basic_super
intercept,beta,frequency,sub_basic,intercept,-8.75638536870671e-4,0,0,intercept_beta_frequency_sub_basic
intercept,beta,intercept,basic_super,intercept,1.423393210242122,1.5046239601797429,1.3584186126262527,intercept_beta_intercept_basic_super
intercept,beta,intercept,sub_basic,intercept,-0.5031187797723178,-0.46524834821915156,-0.5787915477086069,intercept_beta_intercept_sub_basic
intercept,speakerOptimality,adjEndorse,NA,intercept,5.795251587343113,10.601560932011902,4.4409502202752735,intercept_speakerOptimality_adjEndorse_NA
intercept,speakerOptimality,subordinateCC,NA,intercept,1.5716063462322638,19.774810160036765,1.2206403963602406,intercept_speakerOptimality_subordinateCC_NA
slope,beta,frequency,basic_super,slope,0.03408085530955236,0.05136139980785234,0.03176392619999602,slope_beta_frequency_basic_super
slope,beta,frequency,sub_basic,slope,0.03408085530955236,0.05136139980785234,0.03176392619999602,slope_beta_frequency_sub_basic
slope,beta,intercept,basic_super,slope,-8.75638536870671e-4,0,0,slope_beta_intercept_basic_super
slope,beta,intercept,sub_basic,slope,-8.75638536870671e-4,0,0,slope_beta_intercept_sub_basic
slope,speakerOptimality,adjEndorse,NA,slope,4.4396438735833055,8.397131062896738,4.048964728318288,slope_speakerOptimality_adjEndorse_NA
slope,speakerOptimality,subordinateCC,NA,slope,1.4515316435182646,19.988870152979317,1.333854311329875,slope_speakerOptimality_subordinateCC_NA
